Date,FREN,ZG,SFSN,SLHN,LUKN,PM,PSPN,MOLN,GLKBN,MBTN1,BCGE,LUMX,DAE,FI-N,SGKN,PMN,PLAN,IGPH,BALN,WMN
2019-05-07,11.8843,6100.0,81.4236,354.0722,78.847,400.5911,92.4083,17.66,25.0001,,180.017,0.081,135.9898,904.5108,380.2902,427.3223,224.1396,1.57,131.84,0.0
2019-05-08,11.8843,6120.0,82.4859,352.9813,78.7629,397.6175,89.9498,17.84,24.8367,,181.4018,0.086,138.942,911.99,376.9396,424.1502,223.2431,1.56,131.3661,0.0
2019-05-09,11.8433,6120.0,79.4377,349.9424,78.1738,393.3695,90.7128,17.06,24.755,,182.7865,0.082,133.591,872.257,370.6573,419.6187,223.2431,1.56,129.3912,0.0
2019-05-10,11.7204,6100.0,78.6525,351.9683,77.6689,388.2718,91.6453,17.22,24.8367,,181.8633,0.08,134.8826,876.464,370.2385,414.1809,223.2431,1.55,130.2602,0.0
2019-05-13,11.8433,6060.0,75.9738,347.0593,76.7433,388.6966,91.8149,15.9,25.0818,,182.3249,0.081,129.3471,847.9497,367.7256,414.634,223.2431,1.46,128.9963,0.0
2019-05-14,11.8843,6060.0,75.9276,348.7736,76.7433,378.0765,92.4083,15.86,25.7354,,182.7865,0.0875,130.2697,847.0148,360.6056,403.3052,224.1396,1.4,130.0232,0.0
2019-05-15,11.8843,6080.0,76.8975,353.1371,76.4909,373.4036,92.154,16.06,25.9805,,182.7865,0.08,131.3768,826.4471,359.3447,398.3205,224.1396,1.45,130.8131,0.0
2019-05-16,11.8843,6060.0,77.3132,362.176,75.5652,378.0765,93.7648,16.04,25.4903,,183.2481,0.08,133.9601,824.5773,363.5476,403.3052,223.2431,1.34,134.0519,0.0
2019-05-17,11.8843,6100.0,76.2047,359.6825,76.2384,377.6517,92.7474,15.96,25.572,,183.7097,0.0725,131.0078,829.2518,362.2867,402.8521,224.1396,1.28,132.709,0.0
2019-05-20,11.8433,6160.0,73.8031,357.8124,76.2384,382.3245,93.3409,16.0,25.572,,182.7865,0.065,128.9781,817.5656,363.5476,407.8367,224.1396,1.28,131.2871,0.0
2019-05-21,11.8433,6140.0,74.6345,359.8383,77.2482,395.1275,94.1039,15.82,25.6537,,182.7865,0.065,129.9007,818.5005,363.5476,405.571,224.1396,1.27,132.63,0.0
2019-05-22,11.8433,6180.0,75.281,358.2799,77.164,394.2446,93.3409,16.06,25.2452,,183.7097,0.065,129.9007,817.5656,366.0693,404.6647,223.2431,1.2,131.3661,0.0
2019-05-23,11.6794,6160.0,73.2027,351.5787,77.0799,397.335,93.5105,16.0,24.4282,,183.7097,0.065,125.2877,793.2583,362.2867,407.8367,224.1396,1.07,130.0232,0.0
2019-05-24,11.7204,6060.0,73.018,358.8254,76.9116,387.6223,94.1039,15.9,24.5099,,182.3249,0.065,126.0258,796.063,360.6056,397.8674,224.1396,1.09,131.761,0.0
2019-05-27,11.7614,6040.0,72.7871,359.7604,76.575,386.7394,94.0191,16.22,24.5916,,183.7097,0.0615,126.2103,808.2167,369.0113,396.9611,223.2431,1.11,131.84,0.0
2019-05-28,11.5974,5960.0,73.6646,358.4358,76.2384,392.4786,94.1039,15.96,24.4282,,183.7097,0.065,127.6864,805.8794,374.0547,402.8521,223.2431,1.11,132.393,0.0
2019-05-29,11.8843,5980.0,72.9718,352.2021,75.7335,389.3883,94.3582,15.7,24.2648,,182.3249,0.064,127.6864,795.1281,379.5185,399.68,223.2431,1.2,131.1291,0.0
2019-05-31,11.8433,6080.0,73.6184,355.0852,76.0701,377.4682,95.1212,15.58,23.5295,,182.7865,0.07,128.24,793.7258,375.3156,387.4449,222.3465,1.11,131.6031,0.0
2019-06-03,11.8433,5960.0,72.8794,355.241,75.3128,375.7023,95.1212,15.8,23.6112,,182.7865,0.0665,127.1329,795.1281,367.7504,385.6323,222.3465,1.11,130.8921,0.0
2019-06-04,11.6794,5980.0,73.7569,358.8254,75.1445,381.4416,95.1212,15.8,23.6112,,183.7097,0.067,129.5316,818.0331,368.1707,391.5233,222.3465,1.11,132.551,0.0
2019-06-05,11.7204,6040.0,75.2349,359.9942,75.986,388.0638,95.8842,15.8,23.6929,,182.7865,0.0695,133.0375,820.3703,371.1127,398.3205,223.2431,1.25,134.0519,0.0
2019-06-06,11.8023,6020.0,75.0963,361.5526,75.0603,387.1808,96.2234,15.8,23.8563,,182.7865,0.0605,129.1626,812.4237,369.8519,397.4142,222.3465,1.19,134.3678,0.0
2019-06-07,11.7204,6060.0,75.6967,365.1369,75.4811,384.0905,95.969,16.04,24.1014,,182.7865,0.0695,132.6684,816.1633,372.7939,394.2422,223.2431,1.18,135.5527,0.0
